lab,ref_name,dis_name,mos,trc,codec,ref_width,ref_height,ref_bits,dis_width,dis_height,dis_bits,display_model,cvvdp,result_source
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_AVS3_r2.mp4,4.593393407662604,PQ,AVS,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,9.33316421508789,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_AVS3_r4.mp4,3.62071614074934,PQ,AVS,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,8.209485054016113,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_EEM_r4.mp4,1.269687309163962,PQ,EEM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,5.994511604309082,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r1.mp4,4.765578660903351,PQ,LTM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,9.542677879333496,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r2.mp4,4.671918085048045,PQ,LTM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,9.215641021728516,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r3.mp4,3.983092589649742,PQ,LTM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,8.425528526306152,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_LTM_r4.mp4,2.338639364647121,PQ,LTM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,7.149649620056152,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_VTM_r2.mp4,4.185235160548428,PQ,VTM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,8.779569625854492,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera2_1000nit.mp4,Chimera2_1000nit_VTM_r3.mp4,2.250256533651239,PQ,VTM,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,6.806463241577148,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
HW,Chimera3_1000nit.mp4,Chimera3_1000nit_AVS3_r3.mp4,4.388261258228634,PQ,AVS,3840,2160,10,3840,2160,10,avs_hdr_set2_pq,7.281310558319092,/mnt/bn/public-vqa1/wangjiayi/hdr-vqa-outputs/zjuhdr_lab_cvvdp_display_models/ZJUHDR_HW_ColorVideoVDP.csv
